anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Id:Invaded,7.35,2022,1,5,2020,7.90,https://myanimelist.net/anime/40046/Id_Invaded
Wotakoi,7.33,2019,1,5,2018,8.00,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii
Dragon Ball,7.32,2017,1,1,1989,7.96,https://myanimelist.net/anime/223/Dragon_Ball
Tiger & Bunny,7.31,2022,1,4,2011,7.85,https://myanimelist.net/anime/9941/Tiger___Bunny
Usagi Drop,7.30,2020,1,6,2011,8.34,https://myanimelist.net/anime/10162/Usagi_Drop?q=usagi%20dopr&cat=anime
Durarara!! *,7.29,2020,0.5,8,2010,8.10,https://myanimelist.net/anime/6746/Durarara?q=durarara!!
Gosick,7.28,2020,1,8,2011,8.04,https://myanimelist.net/anime/8425/Gosick?q=gosick
Kimi ni Todoke,7.26,2019,1,6,2009,8.01,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
Golden Boy,7.24,2022,1,7,1995,8.04,https://myanimelist.net/anime/268/Golden_Boy
Golden Time,7.23,2019,1,3,2013,7.74,https://myanimelist.net/anime/17895/Golden_Time
Nisekoi,7.21,2019,1,5,2014,7.57,https://myanimelist.net/anime/18897/Nisekoi?q=Nisekoi
My Hero Academia *,7.20,2019,1,1,2016,7.87,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia?q=boku%20no
Josee to Tora to Sakana-tachi,7.19,2021,1,4,2020,8.39,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
O Maidens in Your Savage Season,7.18,2020,1,5,2019,7.32,https://myanimelist.net/anime/38753/Araburu_Kisetsu_no_Otome-domo_yo
Dr. Stone *,7.17,2020,1,2,2019,8.28,https://myanimelist.net/anime/38691/Dr_Stone?q=dr%20stone
Isekai Ojisan,7.15,2022,1,6,2022,7.81,https://myanimelist.net/anime/49220/Isekai_Ojisan
Denpa Onna to Seishun Otoko,7.15,2021,1,8,2011,7.12,https://myanimelist.net/anime/9379/Denpa_Onna_to_Seishun_Otoko
Rising of the Shield Hero *,7.14,2020,1,2,2019,7.96,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
This Devil is a Part-Timer! *,7.13,2020,1,3,2013,7.73,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
After the Rain,7.11,2022,1,7,2018,7.49,https://myanimelist.net/anime/34984/Koi_wa_Ameagari_no_You_ni
Undead Girl Murder Farce,7.10,2023,1,4,2023,7.90,https://myanimelist.net/anime/54790/Undead_Girl_Murder_Farce
Pandora Hearts *,7.10,2022,0.5,7,2009,7.65,https://myanimelist.net/anime/5530/Pandora_Hearts
The Garden of Words,7.09,2020,1,5,2013,7.88,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa
Grimgar of Fantasy and Ash,7.08,2020,1,5,2016,7.65,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar?q=grimgar%20
Re:Creators,7.06,2020,1,5,2017,7.55,https://myanimelist.net/anime/34561/Re_Creators
The Ancient Magus' Bride *,7.04,2020,1,4,2017,8.06,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome
Inuyashiki,7.02,2020,2,5,2017,7.64,https://myanimelist.net/anime/34542/Inuyashiki?
